SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR15836613	PRJNA761539	Unburned	314	314	5.36302206	0.932797962	0.057806425	2.06140915	31.49774434	0.083057496
SRR15836614	PRJNA761539	Burned	205	205	3.838305518	0.721078024	0.132192557	2.05943463	15.73586714	0.026698103
SRR15836615	PRJNA761539	Unburned	375	375	5.521079537	0.931524961	0.05248307	2.061413307	44.43491073	0.082255296
SRR15836616	PRJNA761539	Unburned	347	347	5.448946524	0.931551372	0.034550014	2.061423036	37.68346658	0.079870567
SRR15836617	PRJNA761539	Unburned	221	221	5.017363207	0.929457574	0.052810078	2.061423036	29.97303938	0.11601196
SRR15836618	PRJNA761539	Unburned	307	307	5.267267644	0.9197499	0.038702617	2.061423036	34.81316766	0.072652421
SRR15836619	PRJNA761539	Unburned	506	506	5.744603137	0.922600065	0.053409794	2.061417698	48.46920896	0.068675832
SRR15836620	PRJNA761539	Unburned	576	576	5.86646063	0.922964327	0.021925185	2.061423036	54.60869216	0.064738642
SRR15836621	PRJNA761539	Unburned	547	547	5.785680105	0.917713869	0.0308331	2.06140472	53.34008393	0.072243761
SRR15836622	PRJNA761539	Unburned	479	479	5.697603679	0.923182126	0.054998731	2.061417078	48.26939888	0.075564639
SRR15836623	PRJNA761539	Unburned	544	544	5.795325825	0.920046439	0.044169708	2.061418418	52.12533459	0.077808017
SRR15836624	PRJNA761539	Unburned	481	481	5.748036189	0.930725344	0.031599777	2.061417127	50.3641513	0.074110294
SRR15836625	PRJNA761539	Burned	321	321	4.117612528	0.713446164	0.158116285	2.060087678	24.23509957	0.024626244
SRR15836626	PRJNA761539	Unburned	474	474	5.813937558	0.943636085	0.018325434	2.061423036	46.41814639	0.069193704
SRR15836627	PRJNA761539	Unburned	451	451	5.627395114	0.920792798	0.025102258	2.061423036	43.53211696	0.061256984
SRR15836628	PRJNA761539	Unburned	638	638	5.917064876	0.916189988	0.037604621	2.061416443	57.12686221	0.057893078
SRR15836629	PRJNA761539	Unburned	1066	1066	6.399495166	0.917928767	0.043322142	2.061417111	78.22190867	0.049275195
SRR15836630	PRJNA761539	Unburned	935	935	6.343896212	0.927396106	0.038441837	2.061421475	75.1237223	0.057046777
SRR15836631	PRJNA761539	Unburned	980	980	6.356138104	0.922844223	0.045134858	2.061416022	75.14772147	0.052432263
SRR15836632	PRJNA761539	Unburned	1032	1032	6.389010491	0.920705675	0.045933196	2.061416713	84.70041606	0.056351819
SRR15836633	PRJNA761539	Burned	330	330	5.326036951	0.91842591	0.029122897	2.061423036	31.82380134	0.075159893
SRR15836634	PRJNA761539	Burned	500	500	5.503109299	0.88551188	0.029565613	2.061060943	41.35451434	0.043595683
SRR15836635	PRJNA761539	Burned	238	238	4.1249061	0.753783273	0.135042456	2.06044624	20.31988583	0.031372672
SRR15836636	PRJNA761539	Burned	283	283	3.862408569	0.684163475	0.204000771	2.059219306	25.6561196	0.028189003
SRR15836637	PRJNA761539	Burned	619	619	5.225860083	0.812970519	0.058576204	2.061283525	51.61941717	0.03889685
SRR15836638	PRJNA761539	Burned	902	902	6.09412325	0.895586845	0.036938191	2.061365002	70.98065828	0.046847178
SRR15836639	PRJNA761539	Burned	541	541	5.680866818	0.902667781	0.04352932	2.061413857	46.24241965	0.055414306
SRR15836640	PRJNA761539	Burned	295	295	5.079371834	0.893158756	0.043588966	2.061280052	24.82695568	0.047951436
SRR15836641	PRJNA761539	Burned	738	738	5.39044143	0.816245803	0.089100056	2.061232944	61.5217716	0.041236112
SRR15836642	PRJNA761539	Burned	884	884	6.108518266	0.900369508	0.043767886	2.061412852	72.59889935	0.053976333
SRR15836643	PRJNA761539	Burned	888	888	6.137590703	0.904053064	0.041028554	2.061409389	71.84047895	0.04905194
SRR15836644	PRJNA761539	Burned	283	283	3.913203314	0.693160946	0.120513606	2.060682812	26.84471067	0.029515926
SRR15836645	PRJNA761539	Burned	320	320	4.482851904	0.777150215	0.134467083	2.061224962	30.92765536	0.054533232
SRR15836646	PRJNA761539	Burned	484	484	5.536216021	0.895525717	0.065384795	2.06139413	47.51102462	0.072001943
