SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR23075713	PRJNA922564	Burned	448	449	5.635987105	0.923206879	0.015781847	2.061423036	19.60972357	0.012159972
SRR23075714	PRJNA922564	Burned	448	448.25	5.904882101	0.967253415	0.009458177	2.061423036	18.81606984	0.01898303
SRR23075716	PRJNA922564	Burned	318	322.2	5.523334205	0.9585708	0.012342958	2.061423036	21.14168179	0.040637392
SRR23075718	PRJNA922564	Burned	207	207	5.151415109	0.966001642	0.015752166	2.061423036	15.62282695	0.019861005
SRR23075720	PRJNA922564	Burned	567	567.5	6.136776892	0.967891029	0.009401014	2.061423036	16.01371682	0.008983116
SRR23075721	PRJNA922564	Burned	705	707.3333333	6.321129524	0.963851612	0.006068134	2.061423036	21.28809795	0.011496616
SRR23075723	PRJNA922564	Burned	598	598	6.129800829	0.958741506	0.00825322	2.061423036	21.15706438	0.013507168
SRR23075725	PRJNA922564	Burned	671	672	6.210397075	0.954158451	0.010650888	2.061423036	23.31859679	0.018403081
SRR23075727	PRJNA922564	Burned	350	350	5.344318985	0.912321606	0.024148459	2.061423036	15.87429678	0.011263505
SRR23075729	PRJNA922564	Burned	623	623	6.149360654	0.955678949	0.012494888	2.061423036	18.64207862	0.011740449
SRR23075732	PRJNA922564	Burned	412	412	5.610209773	0.931770141	0.018668021	2.061423036	16.2089366	0.011664349
SRR23075734	PRJNA922564	Burned	198	198	5.051908911	0.955305184	0.016702551	2.061423036	16.11512026	0.029728572
SRR23075736	PRJNA922564	Burned	330	330	5.513024871	0.950670251	0.015232591	2.061423036	15.89757174	0.027966254
SRR23075738	PRJNA922564	Burned	421	421	5.813413129	0.962066253	0.015423738	2.061423036	19.2704401	0.016722408
SRR23075740	PRJNA922564	Burned	434	434.3333333	5.63341913	0.927610377	0.019892962	2.061423036	11.88085723	0.008768898
SRR23075742	PRJNA922564	Burned	346	346	5.623673572	0.961897283	0.02103811	2.061423036	20.25779724	0.029103577
SRR23075743	PRJNA922564	Burned	400	400	5.632776102	0.940133428	0.018190957	2.061423036	10.59822857	0.008691525
SRR23075753	PRJNA922564	Burned	229	229	5.250509387	0.966282299	0.01332507	2.061423036	28.71960221	0.056625528
SRR23075755	PRJNA922564	Burned	1037	1039.333333	6.653253907	0.95811785	0.006344724	2.061423036	29.51949345	0.017368971
SRR23075757	PRJNA922564	Burned	537	537	6.055104817	0.963268637	0.008979489	2.061423036	28.96965064	0.023922736
SRR23075759	PRJNA922564	Burned	622	622	6.255820123	0.972466716	0.006521306	2.061423036	27.64997449	0.023189645
SRR23075761	PRJNA922564	Burned	510	510	5.999935597	0.96239017	0.009526903	2.061423036	23.08355442	0.02523974
SRR23075763	PRJNA922564	Burned	565	565	6.088532949	0.960817483	0.010914444	2.061423036	22.99770848	0.019558493
SRR23075764	PRJNA922564	Burned	374	374	5.718009031	0.965186046	0.009534035	2.061423036	21.65355062	0.031923488
SRR23075766	PRJNA922564	Burned	527	527.75	6.001651709	0.957628795	0.009650496	2.061423036	20.0550262	0.018964899
SRR23075768	PRJNA922564	Burned	248	248	5.345987583	0.969630303	0.014750931	2.061423036	15.84764265	0.028209061
SRR23075770	PRJNA922564	Burned	25	25	2.915890025	0.905872169	0.121002593	2.061423036	9.673015885	0.245751221
SRR23075773	PRJNA922564	Burned	649	649	6.304260777	0.973565946	0.006514028	2.061423036	30.0411368	0.029777515
SRR23075775	PRJNA922564	Burned	182	197	4.960126971	0.953136164	0.025777471	2.061423036	16.16383108	0.023234183
SRR23075777	PRJNA922564	Burned	429	429	5.871139184	0.968601982	0.011905368	2.061423036	14.67023707	0.012148999
SRR23075779	PRJNA922564	Burned	499	503.2	6.049686125	0.973775905	0.006592292	2.061423036	25.43862458	0.025972577
SRR23075781	PRJNA922564	Unburned	134	134	4.709065608	0.961457663	0.027148836	2.061423036	9.858190522	0.03649422
SRR23075783	PRJNA922564	Burned	643	643	6.099355588	0.943275452	0.011708967	2.061423036	28.3275625	0.014091252
SRR23075784	PRJNA922564	Unburned	383	383	5.545084749	0.932254898	0.022247149	2.061423036	19.32104576	0.015662951
SRR23075786	PRJNA922564	Unburned	384	386	5.626976277	0.945608181	0.017980983	2.061423036	23.37463105	0.024319644
SRR23075788	PRJNA922564	Unburned	220	220	5.177781634	0.959981309	0.019268042	2.061423036	20.99402666	0.042910966
SRR23075790	PRJNA922564	Unburned	339	341	5.50234498	0.944446426	0.015361842	2.061423036	21.59402114	0.021602722
SRR23075793	PRJNA922564	Unburned	98	98	4.355382225	0.949926525	0.035399575	2.061423036	14.40329549	0.06232693
SRR23075795	PRJNA922564	Burned	612	612	6.117874527	0.953425242	0.008674389	2.061423036	22.30518999	0.011804759
SRR23075796	PRJNA922564	Unburned	243	243	4.854811709	0.883808011	0.03278269	2.061423036	15.35356128	0.018942559
SRR23075798	PRJNA922564	Burned	568	570.1	5.928722101	0.934816871	0.015382191	2.061423036	26.13503685	0.016197018
SRR23075800	PRJNA922564	Burned	750	750	6.301832616	0.951927935	0.011193584	2.061423036	31.00096837	0.010389588
SRR23075802	PRJNA922564	Burned	312	312	5.59452696	0.974146588	0.011713878	2.061423036	22.2995058	0.032340017
SRR23075804	PRJNA922564	Burned	622	622	6.185301578	0.961504614	0.008670693	2.061423036	24.07641474	0.009330107
SRR23075807	PRJNA922564	Burned	384	384	5.664894708	0.951980338	0.015246899	2.061423036	19.35961209	0.021389361
SRR23075809	PRJNA922564	Burned	648	648	6.279383959	0.969955202	0.005916235	2.061423036	31.86270136	0.021436137
SRR23075811	PRJNA922564	Burned	828	828	6.453674627	0.960509301	0.005955704	2.061423036	37.54803584	0.024943579
SRR23075813	PRJNA922564	Burned	388	388	5.692560783	0.954966563	0.012073328	2.061423036	23.97401215	0.026151447
SRR23075815	PRJNA922564	Burned	254	259.625	5.266866367	0.951155576	0.016418083	2.061423036	12.64144789	0.019937665
SRR23075821	PRJNA922564	Burned	501	502	5.901411219	0.949297916	0.015183809	2.061423036	18.25279524	0.017088172
SRR23075824	PRJNA922564	Burned	23	23	2.984909899	0.951974296	0.090466926	2.061423036	6.554337347	0.322441234
SRR23075825	PRJNA922564	Burned	122	122	4.567332034	0.950731063	0.0309966	2.061423036	15.50363521	0.087705231
SRR23075828	PRJNA922564	Unburned	413	413.5	5.847500651	0.970789662	0.011317051	2.061423036	21.33790387	0.018472917
SRR23075830	PRJNA922564	Unburned	369	369	5.653355682	0.956445641	0.013838252	2.061423036	24.55827939	0.033339034
SRR23075833	PRJNA922564	Unburned	477	477.3333333	5.948602067	0.964505255	0.009937736	2.061423036	30.73221747	0.027120627
SRR23075836	PRJNA922564	Unburned	460	460	5.993755245	0.977578508	0.007064633	2.061423036	22.20078497	0.013774077
SRR23075839	PRJNA922564	Unburned	451	451	5.961180807	0.975409092	0.006907137	2.061423036	21.26506045	0.0320302
SRR23075840	PRJNA922564	Burned	229	229	5.250175622	0.966220874	0.022002821	2.061423036	16.36580028	0.035095525
SRR23075842	PRJNA922564	Burned	469	485.5	5.907459935	0.960468454	0.009305339	2.061423036	13.97495505	0.010103585
SRR23075844	PRJNA922564	Burned	313	313	5.411853221	0.941813758	0.018714244	2.061423036	17.66246549	0.015396887
SRR23075846	PRJNA922564	Burned	423	423	5.718574201	0.945629611	0.016045607	2.061423036	13.72931756	0.010164833
SRR23075847	PRJNA922564	Burned	361	361	5.643516382	0.958334749	0.011337284	2.061423036	15.6258988	0.030366934
SRR23075849	PRJNA922564	Burned	377	377	5.745024622	0.968440184	0.010523992	2.061423036	16.00800127	0.016465088
SRR23075851	PRJNA922564	Burned	210	210	5.229554515	0.978015588	0.015952144	2.061423036	10.17679405	0.03353977
SRR23075853	PRJNA922564	Burned	376	378.5	5.557421928	0.937235581	0.017142409	2.061423036	13.24618103	0.006754587
